gauge,site,SWWRPANAME,in_ewr,lon,lat
422028,BARWON @ BEEMERY,Macquarie-Castlereagh,TRUE,146.44309347607398,-29.94211311162481
420003,BELAR CK @ WARKTON,Macquarie-Castlereagh,FALSE,149.2031099849477,-31.38534588104945
421027,BELL @ GOWAN GREEN,Macquarie-Castlereagh,FALSE,148.98029412061376,-32.800612889793975
421050,BELL @ MOLONG,Macquarie-Castlereagh,FALSE,148.95089414382474,-33.03091289064752
421018,BELL @ NEWREA,Macquarie-Castlereagh,FALSE,148.94899410192926,-32.67931289329638
421008,BELL @ WELLINGTON,Macquarie-Castlereagh,FALSE,148.94089408622256,-32.5554128948604
421165,BENIBILLA@DS CANONBA,Macquarie-Castlereagh,FALSE,147.2843937291747,-31.364213037474364
421051,BMANS SWAMP @ ORANGE,Macquarie-Castlereagh,FALSE,149.1289941966066,-33.26171287393381
421083,BOGAN @ DANDALOO,Macquarie-Castlereagh,FALSE,147.62009387223017,-32.27381300468701
421023,BOGAN @ GONGOLGON,Macquarie-Castlereagh,TRUE,146.89779357393098,-30.34721307454393
421158,BOGAN @ MONKEY BRID,Macquarie-Castlereagh,FALSE,147.0534936458444,-30.85571305895583
421039,BOGAN @ NEURIE PLAIN,Macquarie-Castlereagh,FALSE,147.12349375087445,-31.77491304695105
421138,BOGAN @ NYNGAN,Macquarie-Castlereagh,FALSE,147.18659373648515,-31.55761304364783
421076,BOGAN@PEAK HILL NO.2,Macquarie-Castlereagh,FALSE,148.13079399268844,-32.719412960671505
421156,BONADA CK @ MUMBIL,Macquarie-Castlereagh,FALSE,149.0428941172088,-32.698412885223455
421151,BORA CHANNEL@OFFTAKE,Macquarie-Castlereagh,FALSE,147.52489369711648,-30.76031302309108
421111,BUCKIINGUY @ BREAK,Macquarie-Castlereagh,FALSE,147.54709373434105,-31.085113018981264
421059,BUCKINBAH @ YEOVAL,Macquarie-Castlereagh,FALSE,148.6870940631913,-32.65881291539244
421145,BULGERAGA @ B/CATION,Macquarie-Castlereagh,FALSE,147.66859376004865,-31.176613008735004
421118,BULGERAGA@GIBSON WAY,Macquarie-Castlereagh,FALSE,147.5729937168126,-30.887813018379454
421078,BURRENDONG DAM,Macquarie-Castlereagh,FALSE,149.11149412302433,-32.6673128796234
421084,BURRILL CK@MICKIBRI,Macquarie-Castlereagh,FALSE,148.2209714238208,-32.881847712200035
421190,Bulgeraga Ck @ Pilli,Macquarie-Castlereagh,FALSE,147.53165280528654,-30.829538112054983
421079,C-GONG@D/S WINDAMERE,Macquarie-Castlereagh,FALSE,149.7542942167915,-32.70801282387156
421149,C-GONG@ROCKY WATER H,Macquarie-Castlereagh,FALSE,149.64179419059138,-32.62041283432222
421150,C-GONG@WILBERTREE RD,Macquarie-Castlereagh,FALSE,149.56999416716883,-32.508612841365
421179,CAMPBELLS@DOGROCKSRD,Macquarie-Castlereagh,FALSE,149.57669431720961,-33.724112832199644
42110011,CARWELL@CUDGEGONG RD,Macquarie-Castlereagh,FALSE,149.90829425448098,-32.84111280939065
420022,CASTLEREAGH@COONA#3,Macquarie-Castlereagh,FALSE,149.27037898037187,-31.269948876143015
420020,CASTLEREAGH@GUNGALMN,Macquarie-Castlereagh,TRUE,147.99872701003522,-30.31047965874035
420901,CASTLEREAGH@LUCAS BR,Macquarie-Castlereagh,FALSE,148.76989397653966,-31.81081291455143
421055,COOLBAGGIE@RAWSONVIL,Macquarie-Castlereagh,FALSE,148.4560939720413,-32.14261293820072
421016,CROOKED CK @ PROFILE,Macquarie-Castlereagh,FALSE,147.75919382366672,-31.655012998092683
420007,CSTLEREAGH @BINNAWAY,Macquarie-Castlereagh,FALSE,149.35171132057079,-31.5232995373224
420017,CSTLEREAGH@HDDEN VLY,Macquarie-Castlereagh,FALSE,149.31049100307263,-31.41997287161254
420004,CSTLEREAGH@MENDOORAN,Macquarie-Castlereagh,FALSE,149.1182940239614,-31.81761288513565
42110040,CUDGEGON R@MOONBUCCA,Macquarie-Castlereagh,FALSE,149.9319942545704,-32.81531280748297
